,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist,cluster
0,0.0,0.89,0.617,8,-7.767,0,0.38,0.0519,5.6e-06,0.0815,0.706,140.16,audio_features,1gaMQvjO3dKpOGWv5z7Itr,spotify:track:1gaMQvjO3dKpOGWv5z7Itr,https://api.spotify.com/v1/tracks/1gaMQvjO3dKpOGWv5z7Itr,https://api.spotify.com/v1/audio-analysis/1gaMQvjO3dKpOGWv5z7Itr,138429,4,Bando Diaries,dutchavelli,3
0,,0.749,0.727,6,-4.423,0,0.031,0.0868,0.0,0.0541,0.973,97.015,audio_features,7bodpJfBVeHlxLeHoOEDD2,spotify:track:7bodpJfBVeHlxLeHoOEDD2,https://api.spotify.com/v1/tracks/7bodpJfBVeHlxLeHoOEDD2,https://api.spotify.com/v1/audio-analysis/7bodpJfBVeHlxLeHoOEDD2,216867,4,La Camisa Negra,Juanes,2
0,,0.33,0.357,10,-10.171,1,0.0348,0.866,1.76e-05,0.19,0.101,84.119,audio_features,2FNPJWVdGxYhWaotd6rULS,spotify:track:2FNPJWVdGxYhWaotd6rULS,https://api.spotify.com/v1/tracks/2FNPJWVdGxYhWaotd6rULS,https://api.spotify.com/v1/audio-analysis/2FNPJWVdGxYhWaotd6rULS,182720,3,Sandcastles,Beyoncé,1
