,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,title
2510,0.581,0.767,10,-6.28,1,0.0406,0.157,0.0,0.278,0.832,152.011,audio_features,1MDogqDrStFSO9cdUTUFem,spotify:track:1MDogqDrStFSO9cdUTUFem,https://api.spotify.com/v1/tracks/1MDogqDrStFSO9cdUTUFem,https://api.spotify.com/v1/audio-analysis/1MDogqDrStFSO9cdUTUFem,222613,4,Blake Shelton,Doin' What She Likes
2511,0.475,0.936,5,-2.545,1,0.0413,0.0418,0.0,0.0873,0.598,151.988,audio_features,2yWtLaPCOUDyi7f1lOXCn5,spotify:track:2yWtLaPCOUDyi7f1lOXCn5,https://api.spotify.com/v1/tracks/2yWtLaPCOUDyi7f1lOXCn5,https://api.spotify.com/v1/audio-analysis/2yWtLaPCOUDyi7f1lOXCn5,209587,4,Jake Owen,Anywhere With You
2512,0.791,0.715,7,-5.809,1,0.0377,0.353,0.0,0.115,0.593,112.027,audio_features,5H4YGepZNnPhnOHA9vZSEP,spotify:track:5H4YGepZNnPhnOHA9vZSEP,https://api.spotify.com/v1/tracks/5H4YGepZNnPhnOHA9vZSEP,https://api.spotify.com/v1/audio-analysis/5H4YGepZNnPhnOHA9vZSEP,166787,4,Austin Burke,Whole Lot in Love
2513,0.729,0.688,3,-7.468,1,0.0264,0.127,9.44e-06,0.295,0.671,123.867,audio_features,1TanmIWbaUj5NVwJ3k4XPd,spotify:track:1TanmIWbaUj5NVwJ3k4XPd,https://api.spotify.com/v1/tracks/1TanmIWbaUj5NVwJ3k4XPd,https://api.spotify.com/v1/audio-analysis/1TanmIWbaUj5NVwJ3k4XPd,219600,4,George Strait,Write This Down
2514,0.491,0.841,5,-3.579,1,0.0421,0.0471,0.0,0.0886,0.721,199.851,audio_features,6XD3HMATLswheYevIfKkSi,spotify:track:6XD3HMATLswheYevIfKkSi,https://api.spotify.com/v1/tracks/6XD3HMATLswheYevIfKkSi,https://api.spotify.com/v1/audio-analysis/6XD3HMATLswheYevIfKkSi,163067,4,Easton Corbin,All Over The Road
2515,0.412,0.457,4,-9.142,1,0.0288,0.409,0.0187,0.0978,0.202,74.824,audio_features,15fZHvjZXoAILTvmt4EXIk,spotify:track:15fZHvjZXoAILTvmt4EXIk,https://api.spotify.com/v1/tracks/15fZHvjZXoAILTvmt4EXIk,https://api.spotify.com/v1/audio-analysis/15fZHvjZXoAILTvmt4EXIk,187733,4,Blake Shelton,Who Are You When I'm Not Looking
2516,0.488,0.713,0,-6.148,1,0.0472,0.0569,0.0,0.305,0.483,167.973,audio_features,6WCqjXvMxAN2yP4dzeoyhF,spotify:track:6WCqjXvMxAN2yP4dzeoyhF,https://api.spotify.com/v1/tracks/6WCqjXvMxAN2yP4dzeoyhF,https://api.spotify.com/v1/audio-analysis/6WCqjXvMxAN2yP4dzeoyhF,199747,4,Easton Corbin,Baby Be My Love Song
2517,0.529,0.811,5,-5.62,1,0.0511,0.0317,0.0,0.311,0.454,102.703,audio_features,2CVJECHIdpe8otFH0XFI4F,spotify:track:2CVJECHIdpe8otFH0XFI4F,https://api.spotify.com/v1/tracks/2CVJECHIdpe8otFH0XFI4F,https://api.spotify.com/v1/audio-analysis/2CVJECHIdpe8otFH0XFI4F,223573,4,Lonestar,My Front Porch Looking In
2518,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,audio_features,343YBumqHu19cGoGARUTsd,spotify:track:343YBumqHu19cGoGARUTsd,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,210937,4,Drake,Fake Love
2519,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,audio_features,1wHZx0LgzFHyeIZkUydNXq,spotify:track:1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/tracks/1wHZx0LgzFHyeIZkUydNXq,https://api.spotify.com/v1/audio-analysis/1wHZx0LgzFHyeIZkUydNXq,262693,4,Travis Scott,Antidote
